rating,audience_score,title,credit,box_office,year
18,62,Playmobil: The Movie,Rex Dasher (Voice),1.1,2019
72,72,Swiss Army Man,Manny (Character),4.3,2016
33,53,Now You See Me 2,Walter Mabry (Character),65,2016
27,35,Victor Frankenstein,Igor (Character),5.7,2015
76,60,Kill Your Darlings,Allen Ginsberg (Character),1,2013
74,69,What If,Wallace (Character),3.5,2013
66,54,The Woman in Black,Arthur Kipps (Character),54.3,2012
96,89,Harry Potter and the Deathly Hallows: Part 2,Harry Potter (Character),381,2011
77,85,Harry Potter and the Deathly Hallows: Part 1,Harry Potter (Character),295,2010
84,78,Harry Potter and the Half-Blood Prince,Harry Potter (Character),302,2009
77,81,Harry Potter and the Order of the Phoenix,Harry Potter (Character),292,2007
88,74,Harry Potter and the Goblet of Fire,Harry Potter (Character),290,2005
90,86,Harry Potter and the Prisoner of Azkaban,Harry Potter (Character),249.4,2004
82,80,Harry Potter and the Chamber of Secrets,Harry Potter (Character),262,2002
77,46,The Tailor of Panama,Mark Pendel (Character),13.5,2001
81,82,Harry Potter and the Sorcerer's Stone,Harry Potter (Character),317.6,2001
